id,name,country_id:id
l10n_base.si_r_001,GORENJSKA,base.si
l10n_base.si_r_002,GORIŠKA,base.si
l10n_base.si_r_003,JUGOVZHODNA SLOVENIJA,base.si
l10n_base.si_r_004,KOROŠKA,base.si
l10n_base.si_r_005,NOTRANJSKO - KRAŠKA,base.si
l10n_base.si_r_006,OBALNO - KRAŠKA,base.si
l10n_base.si_r_007,OSREDNJESLOVENSKA,base.si
l10n_base.si_r_008,PODRAVSKA,base.si
l10n_base.si_r_009,POMURSKA,base.si
l10n_base.si_r_010,SAVINJSKA,base.si
l10n_base.si_r_011,SPODNJEPOSAVSKA,base.si
l10n_base.si_r_012,ZASAVSKA,base.si
