name,id,country_id:id
GORENJSKA,l10n_it_base.si_r_001,base.si
GORIŠKA,l10n_it_base.si_r_002,base.si
JUGOVZHODNA SLOVENIJA,l10n_it_base.si_r_003,base.si
KOROŠKA,l10n_it_base.si_r_004,base.si
NOTRANJSKO - KRAŠKA,l10n_it_base.si_r_005,base.si
OBALNO - KRAŠKA,l10n_it_base.si_r_006,base.si
OSREDNJESLOVENSKA,l10n_it_base.si_r_007,base.si
PODRAVSKA,l10n_it_base.si_r_008,base.si
POMURSKA,l10n_it_base.si_r_009,base.si
SAVINJSKA,l10n_it_base.si_r_010,base.si
SPODNJEPOSAVSKA,l10n_it_base.si_r_011,base.si
ZASAVSKA,l10n_it_base.si_r_012,base.si
